datetime,solarirradiation
4/1/2022,214
4/2/2022,168
4/3/2022,207
4/4/2022,217
4/5/2022,224
4/6/2022,63
4/7/2022,0
4/8/2022,172
4/9/2022,169
4/10/2022,67
4/11/2022,18
4/12/2022,214
4/13/2022,224
4/14/2022,230
4/15/2022,237
4/16/2022,206
4/17/2022,106
4/18/2022,106
4/19/2022,47
4/20/2022,8
4/21/2022,27
4/22/2022,223
4/23/2022,192
4/24/2022,43
4/25/2022,225
4/26/2022,12
4/27/2022,243
4/28/2022,138
4/29/2022,86
4/30/2022,243
5/1/2022,78
5/2/2022,87
5/3/2022,2
5/4/2022,14
5/5/2022,175
5/6/2022,169
5/7/2022,255
5/8/2022,256
5/9/2022,223
5/10/2022,10
5/11/2022,256
5/12/2022,225
5/13/2022,2
5/14/2022,16
5/15/2022,261
5/16/2022,241
5/17/2022,209
5/18/2022,37
5/19/2022,255
5/20/2022,213
5/21/2022,270
5/22/2022,0
5/23/2022,237
5/24/2022,278
5/25/2022,274
5/26/2022,254
5/27/2022,135
5/28/2022,161
5/29/2022,220
5/30/2022,218
5/31/2022,274
6/1/2022,279
6/2/2022,279
6/3/2022,239
6/4/2022,273
6/5/2022,183
6/6/2022,285
6/7/2022,287
6/8/2022,286
6/9/2022,283
6/10/2022,261
6/11/2022,131
6/12/2022,97
6/13/2022,192
6/14/2022,246
6/15/2022,218
6/16/2022,227
6/17/2022,118
6/18/2022,286
6/19/2022,181
6/20/2022,33
6/21/2022,29
6/22/2022,127
6/23/2022,61
6/24/2022,275
6/25/2022,280
6/26/2022,283
6/27/2022,283
6/28/2022,282
6/29/2022,286
6/30/2022,283
7/1/2022,293
7/2/2022,293
7/3/2022,284
7/4/2022,211
7/5/2022,100
7/6/2022,292
7/7/2022,284
7/8/2022,288
7/9/2022,286
7/10/2022,270
7/11/2022,282
7/12/2022,278
7/13/2022,253
7/14/2022,280
7/15/2022,281
7/16/2022,288
7/17/2022,290
7/18/2022,285
7/19/2022,282
7/20/2022,281
7/21/2022,284
7/22/2022,288
7/23/2022,286
7/24/2022,272
7/25/2022,275
7/26/2022,271
7/27/2022,177
7/28/2022,120
7/29/2022,260
7/30/2022,253
7/31/2022,262
8/1/2022,264
8/2/2022,94
8/3/2022,250
8/4/2022,252
8/5/2022,234
8/6/2022,255
8/7/2022,77
8/8/2022,216
8/9/2022,199
8/10/2022,249
8/11/2022,252
8/12/2022,257
8/13/2022,256
8/14/2022,251
8/15/2022,219
8/16/2022,252
8/17/2022,250
8/18/2022,256
8/19/2022,255
8/20/2022,246
8/21/2022,254
8/22/2022,252
8/23/2022,247
8/24/2022,237
8/25/2022,241
8/26/2022,239
8/27/2022,237
8/28/2022,234
8/29/2022,229
8/30/2022,228
8/31/2022,231
9/1/2022,235
9/2/2022,232
9/3/2022,229
9/4/2022,228
9/5/2022,225
9/6/2022,222
9/7/2022,221
9/8/2022,212
9/9/2022,201
9/10/2022,193
9/11/2022,155
9/12/2022,211
9/13/2022,217
9/14/2022,213
9/15/2022,208
9/16/2022,156
9/17/2022,83
9/18/2022,171
9/19/2022,191
9/20/2022,189
9/21/2022,188
9/22/2022,191
9/23/2022,188
9/24/2022,185
9/25/2022,186
9/26/2022,183
9/27/2022,174
9/28/2022,154
9/29/2022,71
9/30/2022,83
10/1/2022,154
10/2/2022,156
10/3/2022,89
10/4/2022,150
10/5/2022,174
10/6/2022,167
10/7/2022,164
10/8/2022,135
10/9/2022,157
10/10/2022,161
10/11/2022,158
10/12/2022,157
10/13/2022,137
10/14/2022,59
10/15/2022,121
10/16/2022,140
10/17/2022,3
10/18/2022,1
10/19/2022,0
10/20/2022,136
10/21/2022,63
10/22/2022,88
10/23/2022,0
10/24/2022,0
10/25/2022,19
10/26/2022,39
10/27/2022,84
10/28/2022,5
10/29/2022,7
10/30/2022,0
10/31/2022,65
11/1/2022,110
11/2/2022,0
11/3/2022,101
11/4/2022,0
11/5/2022,79
11/6/2022,1
11/7/2022,0
11/8/2022,0
11/9/2022,102
11/10/2022,84
11/11/2022,99
11/12/2022,97
11/13/2022,10
11/14/2022,0
11/15/2022,0
11/16/2022,0
11/17/2022,4
11/18/2022,4
11/19/2022,0
11/20/2022,67
11/21/2022,2
11/22/2022,0
11/23/2022,9
11/24/2022,1
11/25/2022,73
11/26/2022,79
11/27/2022,77
11/28/2022,0
11/29/2022,1
11/30/2022,26
12/1/2022,52
12/2/2022,33
12/3/2022,74
12/4/2022,0
12/5/2022,0
12/6/2022,16
12/7/2022,10
12/8/2022,0
12/9/2022,28
12/10/2022,77
12/11/2022,49
12/12/2022,47
12/13/2022,45
12/14/2022,0
12/15/2022,44
12/16/2022,61
12/17/2022,66
12/18/2022,51
12/19/2022,71
12/20/2022,51
12/21/2022,0
12/22/2022,10
12/23/2022,70
12/24/2022,74
12/25/2022,76
12/26/2022,66
12/27/2022,57
12/28/2022,0
12/29/2022,0
12/30/2022,0
12/31/2022,0
1/1/2023,68
1/2/2023,40
1/3/2023,0
1/4/2023,0
1/5/2023,65
1/6/2023,0
1/7/2023,5
1/8/2023,1
1/9/2023,0
1/10/2023,0
1/11/2023,4
1/12/2023,83
1/13/2023,87
1/14/2023,89
1/15/2023,91
1/16/2023,91
1/17/2023,92
1/18/2023,93
1/19/2023,90
1/20/2023,90
1/21/2023,88
1/22/2023,62
1/23/2023,91
1/24/2023,88
1/25/2023,34
1/26/2023,94
1/27/2023,80
1/28/2023,58
1/29/2023,12
1/30/2023,24
1/31/2023,1
2/1/2023,0
2/2/2023,0
2/3/2023,7
2/4/2023,91
2/5/2023,42
2/6/2023,27
2/7/2023,95
2/8/2023,1
2/9/2023,0
2/10/2023,69
2/11/2023,48
2/12/2023,121
2/13/2023,2
2/14/2023,3
2/15/2023,0
2/16/2023,0
2/17/2023,15
2/18/2023,12
2/19/2023,15
2/20/2023,54
2/21/2023,134
2/22/2023,1
2/23/2023,31
2/24/2023,41
2/25/2023,0
2/26/2023,148
2/27/2023,154
2/28/2023,157
3/1/2023,153
3/2/2023,157
3/3/2023,14
3/4/2023,44
3/5/2023,1
3/6/2023,21
3/7/2023,119
3/8/2023,0
3/9/2023,8
3/10/2023,66
3/11/2023,12
3/12/2023,0
3/13/2023,162
3/14/2023,86
3/15/2023,110
3/16/2023,181
3/17/2023,187
3/18/2023,185
3/19/2023,90
3/20/2023,81
3/21/2023,175
3/22/2023,186
3/23/2023,196
3/24/2023,198
3/25/2023,199
3/26/2023,180
3/27/2023,200
3/28/2023,174
3/29/2023,21
3/30/2023,163
3/31/2023,190
4/1/2023,173
4/2/2023,41
4/3/2023,35
4/4/2023,70
4/5/2023,1
4/6/2023,145
4/7/2023,10
4/8/2023,63
4/9/2023,62
4/10/2023,7
4/11/2023,228
4/12/2023,158
4/13/2023,80
4/14/2023,40
4/15/2023,0
4/16/2023,94
4/17/2023,237
4/18/2023,111
4/19/2023,248
4/20/2023,241
4/21/2023,242
4/22/2023,250
4/23/2023,161
4/24/2023,104
4/25/2023,252
4/26/2023,253
4/27/2023,250
4/28/2023,197
4/29/2023,147
4/30/2023,236
5/1/2023,262
5/2/2023,258
5/3/2023,263
5/4/2023,274
5/5/2023,275
5/6/2023,15
5/7/2023,32
5/8/2023,245
5/9/2023,262
5/10/2023,227
5/11/2023,80
5/12/2023,68
5/13/2023,233
5/14/2023,229
5/15/2023,245
5/16/2023,134
5/17/2023,3
5/18/2023,242
5/19/2023,33
5/20/2023,155
5/21/2023,266
5/22/2023,256
5/23/2023,192
5/24/2023,278
5/25/2023,286
5/26/2023,284
5/27/2023,285
5/28/2023,288
5/29/2023,286
5/30/2023,284
5/31/2023,286
6/1/2023,285
6/2/2023,286
6/3/2023,290
6/4/2023,294
6/5/2023,281
6/6/2023,284
6/7/2023,279
6/8/2023,248
6/9/2023,142
6/10/2023,236
6/11/2023,241
6/12/2023,202
6/13/2023,86
6/14/2023,258
6/15/2023,285
6/16/2023,253
6/17/2023,198
6/18/2023,81
6/19/2023,197
6/20/2023,273
6/21/2023,282
6/22/2023,275
6/23/2023,290
6/24/2023,290
6/25/2023,48
6/26/2023,289
6/27/2023,293
6/28/2023,271
6/29/2023,287
6/30/2023,261
7/1/2023,294
7/2/2023,276
7/3/2023,267
7/4/2023,289
7/5/2023,271
7/6/2023,106
7/7/2023,155
7/8/2023,272
7/9/2023,281
7/10/2023,280
